Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2022-06-14,25.9281,26.3136,25.424,25.7798,790985.56659496
2022-06-15,25.6612,26.1555,25.3152,25.8885,1240905.3266007
2022-06-16,25.0878,25.3646,23.9115,24.1093,1366979.4916792
2022-06-17,24.1785,25.0978,23.9907,24.8012,752785.87253074
2022-06-21,25.157,25.5327,24.8308,25.0978,869780.52875794
2022-06-22,24.3663,25.2164,24.3663,24.9,895422.68038521
2022-06-23,25.0978,25.4734,24.7122,24.8902,603333.61608224
2022-06-24,25.1966,25.9281,25.1966,25.8885,471918.98000359
2022-06-27,25.8787,25.9083,24.7122,25.0286,763637.78244141
2022-06-28,25.2362,25.5821,24.3564,24.4157,1051843.1437383
2022-06-29,24.4157,24.7518,23.9215,24.6035,870013.2069792
2022-06-30,24.2477,24.3169,23.4618,24.0796,887098.86993074
2022-07-01,23.8918,24.5343,23.8127,24.2872,835829.74134281
2022-07-05,23.7831,25.3548,23.7336,25.3449,510653.8339767
2022-07-06,25.246,25.4734,24.6826,24.7617,490699.14739258
2022-07-07,24.9396,25.6019,24.7913,25.5525,564342.81606574
2022-07-08,25.246,25.6217,24.8704,24.989,645849.99697306
2022-07-11,24.9692,25.246,24.5145,24.9396,673281.74761514
2022-07-12,24.9594,25.9379,24.9594,25.2064,810672.16740242
2022-07-13,24.6332,25.2954,24.1291,25.1868,1208634.8806008
2022-07-14,25.1768,25.5129,24.3415,24.6035,1125301.6814788
2022-07-15,24.8902,25.6019,24.6134,25.4437,566156.69454713
2022-07-18,25.5525,26.2642,25.5327,26.0071,1211153.875257
2022-07-19,26.2147,26.8474,26.0665,26.709,1153653.0169171
2022-07-20,26.9264,28.1818,26.8374,27.9941,1342595.8257355
2022-07-21,28.0731,28.4488,27.6679,28.1027,1249701.5750087
2022-07-22,27.8161,28.0929,27.1242,27.1736,986112.55787675
2022-07-25,27.2527,27.9941,27.1834,27.8557,918744.11966652
2022-07-26,27.5195,27.8161,27.3713,27.5393,2139809.0755048
2022-07-27,27.8754,29.0814,27.7469,29.0122,956866.92875328
2022-07-28,29.0122,29.3383,28.5772,29.2989,671351.53002313
2022-07-29,29.1407,29.714,28.854,29.6547,771890.77778505
2022-08-01,29.457,30.8606,29.2197,30.7816,1134698.8466843
2022-08-02,30.4752,30.9694,29.723,30.7717,1329447.4829455
2022-08-03,30.8112,31.7849,30.8112,31.6415,824144.23641336
2022-08-04,31.6415,31.9875,31.3005,31.5427,723144.69043112
2022-08-05,31.0089,31.4834,30.8013,31.1374,1077036.125234
2022-08-08,31.2264,31.8343,31.0682,31.6613,2501246.3661876
2022-08-09,30.6432,30.9397,28.5278,29.1604,2555044.6058762
2022-08-10,29.8227,30.0501,29.1209,29.5459,2009625.61071
2022-08-11,29.9611,30.653,29.2099,29.6251,1243535.6021453
2022-08-12,30.2478,30.396,29.7337,29.9512,843872.31464288
2022-08-15,29.8425,30.2478,29.7535,29.9216,704134.8797542
2022-08-16,29.8524,30.0155,29.3483,29.8425,861669.16363593
2022-08-17,29.6645,29.714,28.8392,28.9628,960323.71780565
2022-08-18,28.6662,28.9232,28.4092,28.9232,1131576.9119418
2022-08-19,28.5772,28.7106,27.6184,28.0039,582435.06523535
2022-08-22,27.5195,27.8557,27.2922,27.7469,1023027.4635018
2022-08-23,27.6276,28.408,27.6276,28.2241,943852.57388061
2022-08-24,28.2639,28.7808,27.8165,27.8563,1041324.1668309
2022-08-25,28.0352,28.7808,27.8563,28.6516,848994.25205462
2022-08-26,28.6615,28.751,27.1604,27.2399,808032.88688031
2022-08-29,26.9913,27.3791,26.9715,27.0609,697665.9375739
2022-08-30,27.3393,27.5481,26.6662,26.9814,1115418.148465
2022-08-31,27.1106,27.4884,26.6036,26.6136,649308.35123838
2022-09-01,26.2855,27.1106,26.1463,27.0709,887990.13155655
2022-09-02,27.3294,27.3294,26.4296,26.6334,323749.89126941
2022-09-06,26.3849,26.6434,26.1165,26.6434,520008.76563437
2022-09-07,26.4247,27.3194,26.4247,27.1405,642262.17563193
2022-09-08,26.9019,27.6375,26.6583,27.3294,474496.80824827
2022-09-09,27.5779,28.1644,27.5779,27.9756,638497.17416227
2022-09-12,28.2142,28.5919,27.9259,28.5124,611226.81486654
2022-09-13,27.4685,27.727,27.2598,27.4288,518831.88833822
2022-09-14,27.4089,27.6972,27.0212,27.4884,558618.38797244
2022-09-15,27.2399,27.8861,27.0212,27.1106,481573.16019565
2022-09-16,26.544,26.8323,26.375,26.6931,1092255.7950475
2022-09-19,26.4644,26.7627,25.9276,26.5639,1262454.3813879
2022-09-20,26.3253,26.3352,25.0875,25.5498,1472221.1918298
2022-09-21,25.4802,26.5738,25.172,25.5498,2598235.2594723
2022-09-22,25.4405,25.5001,24.6849,24.9136,2007772.7847976
2022-09-23,24.844,24.9831,24.3171,24.8937,1181360.4945367
2022-09-26,24.8638,25.172,23.81,23.8598,955695.78181643
2022-09-27,24.0983,24.4612,23.6013,23.641,1095010.8949741
2022-09-28,23.7902,24.158,23.641,23.9393,1107858.9750628
2022-09-29,23.5217,23.5217,22.6171,22.9948,1188764.7627222
2022-09-30,22.9252,23.8796,22.6568,23.0744,1608983.3865451
2022-10-03,23.2136,24.3071,23.1241,23.9989,920428.69217504
2022-10-04,24.3966,25.003,24.3966,24.8738,1219638.1771246
2022-10-05,24.4165,24.5358,23.984,24.3568,701980.14844843
2022-10-06,24.3568,24.4098,23.4422,23.6907,899923.86851515
2022-10-07,23.4124,23.4223,22.2442,22.6469,921656.86925077
2022-10-10,22.7264,23.0644,21.951,22.2194,810172.38945203
2022-10-11,23.1638,23.3826,21.444,22.5773,1921046.9868515
2022-10-12,22.4679,23.7106,22.1995,23.5317,1899922.5423245
2022-10-13,22.8258,24.0288,22.4381,23.6212,1414795.6150457
2022-10-14,23.9293,24.1481,22.965,23.0843,1106472.8751362
2022-10-17,23.3527,24.0586,23.1738,23.8001,1096389.9537545
2022-10-18,24.4065,24.7048,23.5714,23.8697,1088655.7575749
2022-10-19,23.9592,24.3867,23.5019,23.6808,1532896.7605317
2022-10-20,23.5615,24.1282,23.482,23.8598,748080.54448261
2022-10-21,23.6907,23.9244,23.3229,23.7106,707448.1014244
2022-10-24,23.6212,27.2399,22.4978,25.6592,10086160.309001
2022-10-25,25.52,27.5878,25.3116,27.1703,2532915.5519017
2022-10-26,26.7726,27.8264,26.7329,26.872,1716487.6069755
2022-10-27,26.7428,27.2598,25.2217,26.4247,2959584.8715368
2022-10-28,26.3849,26.3849,25.7586,26.0469,957743.74948734
2022-10-31,26.0171,26.1861,25.5598,25.8679,844308.87218669
2022-11-01,26.365,26.7428,26.206,26.5241,624470.20502137
2022-11-02,26.4346,26.4346,25.1621,25.2615,935232.1991558
2022-11-03,24.7247,25.182,24.2206,24.9831,656488.30862295
2022-11-04,25.2814,25.5399,24.9533,25.3808,813664.79797532
2022-11-07,25.351,26.7428,25.2416,26.6931,1059157.3784407
2022-11-08,26.9516,27.2299,26.0966,26.4346,850041.37108479
2022-11-09,26.0966,26.5738,25.7387,26.4247,677173.18445037
